numero de elementos , tempo sequencial , tempo paralelo , tempo overhead,,
70000,0.01668704,0.248904118,0.19526978,,
80000,0.017663668,0.289580313,0.227471536,,
90000,0.018791144,0.321267486,0.255654221,,
100000,0.020940725,0.357827344,0.27495162,,
110000,0.022229574,0.386887422,0.297009105,,
120000,0.02551567,0.419285583,0.334930515,,
130000,0.024130553,0.445864664,0.358073311,,
140000,0.027689786,0.507700863,0.396145731,,
150000,0.028492075,0.537605551,0.415994435,,
160000,0.031349365,0.56124793,0.45399537,,
170000,0.029739036,0.595522099,0.504200692,,
180000,0.036468683,0.661844898,0.468073487,,
190000,0.034932533,0.667899431,0.530340293,,
200000,0.039028708,0.717537216,0.557161222,,
210000,0.040784467,0.756964509,0.578189654,,
220000,0.043023446,0.770390375,0.608170609,,
230000,0.044595788,0.818730148,0.640303797,,
240000,0.048095117,0.841310624,0.659371888,,
250000,0.045724153,0.885383904,0.700250013,,
260000,0.049353895,0.895123575,0.722524341,,
270000,0.052678826,0.926073767,0.762691793,,
280000,0.055363206,1.210158188,0.796036839,,
290000,0.058295549,1.330822415,0.80222383,,
300000,0.059001181,1.064207404,0.817248363,,
310000,0.059850286,1.122561596,0.887770856,,
320000,0.063424195,1.09307191,0.888327194,,
330000,0.066777581,1.168766828,0.911405744,,
340000,0.068279354,1.205736269,0.936481935,,
350000,0.069090362,1.237005473,0.976156413,,
360000,0.071914149,1.245322091,0.994320856,,
370000,0.075202235,1.298697566,1.025163944,,
380000,0.077826852,1.320730627,1.040360815,,
390000,0.080501115,1.355099866,1.064485389,,
400000,0.083752698,1.387701327,1.090822375,,
410000,0.084249399,1.448818815,1.136360898,,
420000,0.087584457,1.487865788,1.147339869,,
430000,0.088674156,1.483732953,1.17723329,,
440000,0.093300946,1.513110174,1.218008343,,
450000,0.094024903,1.5772344,1.239373014,,
460000,0.097647148,1.679941528,1.358472415,,
470000,0.099425454,1.722768412,1.407334399,,
480000,0.103279722,1.678659599,1.442341629,,
490000,0.105553806,1.817634587,1.381754614,,
500000,0.106545123,1.833672703,1.42126879,,
510000,0.110419291,1.971913686,1.393715673,,
520000,0.11249902,1.783094918,1.424073793,,
530000,0.115587659,1.911833903,1.479983933,,
540000,0.117796179,1.85428137,1.567392533,,
550000,0.119819101,2.067927111,1.494567702,,
560000,0.122224232,1.977309733,1.626832514,,
570000,0.125533134,2.002169327,1.562085737,,
580000,0.128501093,2.006957842,1.821624111,,
590000,0.130445373,2.033525987,1.640270308,,
600000,0.133587769,2.287705805,1.647103302,,
610000,0.139547373,2.098247706,1.826249009,,
620000,0.138462698,2.160787088,1.706053864,,
630000,0.142498628,2.311819457,1.741075446,,
640000,0.144237807,2.536263238,1.956479728,,
650000,0.147348333,2.236842116,1.793164771,,
660000,0.149377368,2.281294955,2.128455942,,
670000,0.152809764,2.306549193,1.928254114,,
680000,0.156787646,2.352950982,1.866240029,,
690000,0.158179477,2.659235242,1.907667219,,
700000,0.160055277,2.410111726,2.018879864,,
710000,0.16348685,2.528062121,1.961301095,,
720000,0.166446635,2.655620238,1.991536101,,
730000,0.168551144,2.514290368,1.978590096,,
740000,0.193625354,2.556256029,2.009487194,,
750000,0.174756341,3.126672352,2.124123767,,
760000,0.177647807,2.636410586,2.085355859,,
770000,0.182589168,2.642507651,2.065445095,,
780000,0.182737178,2.600079889,2.080880681,,
790000,0.185089142,2.717544361,2.187958701,,
800000,0.188551642,2.893720196,2.189029568,,
810000,0.191118404,2.783608783,2.232993938,,
820000,0.193644447,2.81276548,2.234029417,,
830000,0.196901548,2.868056275,2.22994664,,
840000,0.19975949,3.057087315,2.237216392,,
850000,0.203036117,2.92155468,2.310858624,,
860000,0.205680523,2.889754868,2.265436584,,
870000,0.207862442,2.926706475,2.470468119,,
880000,0.211338431,3.028406603,2.404877359,,
890000,0.214406448,3.054658892,2.446455836,,
900000,0.217043413,3.092359774,2.465261436,,
910000,0.21965192,3.190340425,2.503737475,,
920000,0.222094309,3.177454804,2.515634031,,
930000,0.2263888,3.199633973,2.545859798,,
940000,0.228910667,3.209061212,2.750959798,,
950000,0.232969135,3.266787197,2.583859967,,
960000,0.235335474,3.331092481,2.635542736,,
970000,0.237329955,3.405709039,2.663309222,,
980000,0.24067358,3.366776938,2.683759378,,
990000,0.262951518,3.405573628,2.729119242,,
1000000,0.24702478,3.436957929,2.7421645,,
